distance,speed,hour,weekday,eta
5.739093598559951,13.346040743207901,5,2,0.4300221847802094
2.2778345482049858,30.21857334183914,14,4,0.07537862633148233
6.532005130340426,22.858564070950475,12,1,0.2857574565955149
2.9888073835929747,13.77251293578706,22,3,0.21701249419971397
6.524401793628391,12.70558466753533,1,6,0.5135066165273932
7.642869666113033,13.73142185496779,20,0,0.5565971060271501
9.110086482527711,20.379661577457625,10,5,0.6705278039997904
1.678200262250847,12.389865597650736,3,4,0.13544943236261203
9.176237924538848,11.633514079362909,3,0,0.7887761051337783
1.752046799777538,36.16740732360987,5,2,0.048442698258711295
4.702795661250575,19.65018211580043,12,2,0.23932580540661375
4.8716386245858425,32.974995463381816,12,3,0.1477373554151271
9.996526800300806,30.11033679605778,10,3,0.4979947684415943
0.6199677079049171,19.70804549238516,18,1,0.0471863920862519
8.366976256555185,11.785688503687133,9,0,1.0648902167155008
1.9838351894387816,18.158297823060153,0,3,0.10925226630655918
4.699475271979333,31.95100028916165,15,1,0.14708382302426629
5.201108043825475,39.285463762842994,18,2,0.19858902806480766
8.692718814264582,26.838606378098802,7,4,0.3238886062786826
7.168681301773832,25.760793944264634,17,6,0.417418111255643
6.057431067005247,27.76604503171641,17,6,0.3272394966632449
1.1346303598851146,12.079270512090002,8,5,0.14089804000367526
4.579095194851959,35.90264198451945,22,2,0.1275420120008544
3.0501476003895482,14.18719555125002,4,4,0.21499299064224167
8.019595276360548,16.272948340491833,13,0,0.492817595715305
8.024527057304695,39.843082548586736,13,0,0.20140326862308325
8.138806846528443,32.8347806333788,1,1,0.2478715157991581
7.377858419518267,14.775281719299848,12,6,0.4993379185373583
5.444785915616311,20.254545298068464,10,4,0.4032269672429188
5.252576288852861,19.592400681135977,9,2,0.4021387966440093
9.923016826510873,16.86579307544308,17,3,0.8825274431617727
1.4000166351672683,12.517137192283743,14,4,0.11184798997252472
1.1563706674125458,27.61712615129967,5,4,0.041871506147214625
5.826308615285959,17.791900074170634,6,4,0.3274697244812146
9.068504113795267,12.440487373513918,7,0,0.728950871579382
4.613615441059531,17.493134466823925,4,6,0.26373863699552214
7.169095918951485,27.50579516814832,22,3,0.26063947161408696
0.7165111626350118,13.210436049737474,3,4,0.054238267377196135
8.387607582400138,18.38931124624441,21,6,0.4561131991342586
6.5143943002425955,38.1134264715717,3,3,0.17092124490831587
3.6254293546265832,30.826843423786833,19,2,0.17640937014471142
7.646332393912803,11.774421415226023,12,4,0.6494019641614827
5.307699464501021,17.478035430056245,21,1,0.30367826439884615
6.9379559546793175,10.077335964541948,11,1,0.6884712367525669
1.2878832023673268,20.908567435574696,14,5,0.061595956123520416
6.8516971694158215,34.46479019160801,20,3,0.19880281096515054
0.8813612035748473,29.40340661886369,5,3,0.029974799008813214
8.82073887879129,27.856166121192313,15,0,0.3166530110574219
0.765441485062271,11.86651887493323,20,0,0.06450429929195035
1.4491705230276828,38.668678538260934,23,2,0.03747659805839481
2.7754606982719006,10.631304111301285,5,5,0.2610649332588964
7.457336545377473,11.462988014168934,3,0,0.6505578245532283
2.6754688354874485,35.70647189054699,4,6,0.07492952100360713
3.116421260063135,34.9627055292177,13,1,0.08913558641675479
6.17955571848581,26.967337716850405,21,4,0.22914963958880322
8.580680885463462,15.012101503983715,22,0,0.57158425708662
